Tecnicas,Design Role,Classe,Método,LOC,CC,Efferent,NOP,Problema de Design
" A, R, V, X ",[CUSTOMTASKCHANGE],org.openmrs.util.databasechange.ProgramValidatorChangeSet,execute,59,9,14,1,Metodo Longo
" A, V, X ",ORDERVALIDATOR,org.openmrs.validator.DrugOrderValidator,validateUnitsAreAmongAllowedConcepts,30,10,6,2,Muitos Desvios
" A, V, X ",[UNVOIDHANDLER],org.openmrs.api.handler.PersonUnvoidHandler,handle,8,4,4,4,Muitos Parametros
" A, R, D, V, X ",SERVICE,org.openmrs.hl7.impl.HL7ServiceImpl,resolveUserId,50,11,9,1,Muitos Desvios
" A, R, V, X ",EMPTYINTERCEPTOR,org.openmrs.api.db.hibernate.AuditableInterceptor,changePropertyValue,11,6,7,5,Muitos Parametros
 V ,SERVICE,org.openmrs.api.impl.FormServiceImpl,mergeDuplicateFields,28,6,10,0,Muitos Desvios
 V ,ENTITY,org.openmrs.propertyeditor.PrivilegeEditor,setAsText,23,5,8,1,Metodo Longo
" A, R, V, X ",STARTUPFILTER,org.openmrs.web.filter.initialization.InitializationFilter,doPost,354,61,20,2,Metodo Longo
 V ,TEST,org.openmrs.api.ObsServiceTest,getObservations_shouldCompareDatesUsingLteAndGte,29,1,6,0,Metodo Longo
 V ,[VALIDATOR],org.openmrs.validator.AllergyValidator,validate,33,12,11,2,Alto Acoplamento Efferent
" A, V, X ",[SAVEHANDLER],org.openmrs.api.handler.ConceptReferenceTermSaveHandler,handle,7,3,5,4,Muitos Parametros
 V ,[CUSTOMTASKCHANGE],org.openmrs.util.databasechange.MigrateDrugOrderFrequencyToCodedOrderFrequencyChangeset,migrateFrequenciesToCodedValue,44,8,10,2,Metodo Longo
 V ,TEST,org.openmrs.api.AdministrationServiceTest,getPresentationLocales_shouldReturnLanguageLocaleIfItIsSpecifiedInAllowedListAndThereAreNoCountryLocaleMessageFilesAvailable,16,1,10,0,Alto Acoplamento Efferent
 V ,[FILTER],org.openmrs.web.filter.StartupFilter,renderTemplate,35,8,17,3,Muitos Parametros
" A, D, V ",TEST,org.openmrs.api.ObsServiceTest,getComplexObs_shouldFillInComplexDataObjectForComplexObs,37,12,12,0,Alto Acoplamento Efferent
" A, R, V, X ",[CUSTOMTASKCHANGE],org.openmrs.util.databasechange.AddConceptMapTypesChangeset,runBatchInsert,99,20,17,1,Metodo Longo
" A, V, X ",BASECUSTOMIZABLEVALIDATOR,org.openmrs.validator.VisitValidator,validate,33,10,11,2,Muitos Desvios
" A, R, V, X ",[VALIDATOR],org.openmrs.validator.DrugValidator,validate,51,11,15,2,Alto Acoplamento Efferent
" A, R, D, V, X ",[CUSTOMTASKCHANGE],org.openmrs.util.databasechange.DuplicateLocationAttributeTypeNameChangeSet,execute,113,18,30,1,Alto Acoplamento Efferent
 V ,URLCLASSLOADER,org.openmrs.util.OpenmrsClassLoader,getLibCacheFolder,26,6,4,0,Muitos Desvios
" D, V ",TEST,org.openmrs.serialization.SimpleXStreamSerializerTest,serialize_shouldSerializeObject,15,1,11,0,Alto Acoplamento Efferent
" A, V, X ",PERSISTENCE,org.openmrs.api.db.hibernate.HibernateConceptDAO,newConceptNameQuery,29,4,9,4,Muitos Parametros
 V ,TEST,org.openmrs.api.OrderServiceTest,saveOrder_shouldSetAutoExpireDateOfDrugOrderIfAutoExpireDateIsNotSet,26,1,11,0,Metodo Longo
" A, R, D, V, X ",UNDEFINED,org.openmrs.test.MigrateDataSet,execMysqlCmd,39,11,13,3,Muitos Desvios
 V ,TEST,org.openmrs.api.OrderSetServiceTest,shouldAddOrderSetMemberAtSomePositionInsideAnExistingOrderSet,28,1,10,0,Metodo Longo
