RELATORIO COMPLETO SISTEMA
Numero Refatoracoes em Metodos e Nao Metodos:,357
Numero Refatoracoes relacionadas a operacoes em Metodos:,54
Numero Refatoracoes relacionadas a rename em Metodos:,40
Numero Metodos Smell Commit Inicial:,31
Numero Metodos NOT Smell Commit Inicial:,320
METODO LONGO
True Negative,311.0
False Negative = ,13.0
False Positive (V) = ,6.0
False Positive (X) = ,0.0
False Positive (R) = ,0.0
False Positive (D) = ,2.0
True Positive  (V) = ,3.0
True Positive (X) = ,0.0
True Positive (R) = ,0.0
True Positive (D) = ,0.0
Precision (V) = ,0.33333334
Precision (X) = ,0.0
Precision (R) = ,0.0
Precision (D) = ,0.0
Recall (V) = ,0.1875
Recall (X) = ,0.0
Recall (R) = ,0.0
Recall (D) = ,0.0
F-measure (V) = ,0.23999998
F-measure (X) = ,0.0
F-measure (R) = ,0.0
F-measure (D) = ,0.0
Acuracia (V) = ,0.9429429
Acuracia (X) = ,0.95987654
Acuracia (R) = ,0.95987654
Acuracia (D) = ,0.9539877

MUITOS DESVIOS
True Negative,315.0
False Negative = ,8.0
False Positive (V) = ,2.0
False Positive (X) = ,0.0
False Positive (R) = ,0.0
False Positive (D) = ,0.0
True Positive  (V) = ,0.0
True Positive (X) = ,0.0
True Positive (R) = ,0.0
True Positive (D) = ,0.0
Precision (V) = ,0.0
Precision (X) = ,0.0
Precision (R) = ,0.0
Precision (D) = ,0.0
Recall (V) = ,0.0
Recall (X) = ,0.0
Recall (R) = ,0.0
Recall (D) = ,0.0
F-measure (V) = ,0.0
F-measure (X) = ,0.0
F-measure (R) = ,0.0
F-measure (D) = ,0.0
Acuracia (V) = ,0.9692308
Acuracia (X) = ,0.9752322
Acuracia (R) = ,0.9752322
Acuracia (D) = ,0.9752322

ALTO ACOPLAMENTO EFFERENT
True Negative,315.0
False Negative = ,8.0
False Positive (V) = ,10.0
False Positive (X) = ,4.0
False Positive (R) = ,3.0
False Positive (D) = ,4.0
True Positive  (V) = ,4.0
True Positive (X) = ,1.0
True Positive (R) = ,1.0
True Positive (D) = ,1.0
Precision (V) = ,0.2857143
Precision (X) = ,0.2
Precision (R) = ,0.25
Precision (D) = ,0.2
Recall (V) = ,0.33333334
Recall (X) = ,0.11111111
Recall (R) = ,0.11111111
Recall (D) = ,0.11111111
F-measure (V) = ,0.30769232
F-measure (X) = ,0.14285713
F-measure (R) = ,0.15384616
F-measure (D) = ,0.14285713
Acuracia (V) = ,0.94658756
Acuracia (X) = ,0.9634146
Acuracia (R) = ,0.96636087
Acuracia (D) = ,0.9634146

MUITOS PARAMETROS
True Negative,320.0
False Negative = ,0.0
False Positive (V) = ,4.0
False Positive (X) = ,2.0
False Positive (R) = ,0.0
False Positive (D) = ,1.0
True Positive  (V) = ,0.0
True Positive (X) = ,0.0
True Positive (R) = ,0.0
True Positive (D) = ,0.0
Precision (V) = ,0.0
Precision (X) = ,0.0
Precision (R) = ,0.0
Precision (D) = ,0.0
Recall (V) = ,0.0
Recall (X) = ,0.0
Recall (R) = ,0.0
Recall (D) = ,0.0
F-measure (V) = ,0.0
F-measure (X) = ,0.0
F-measure (R) = ,0.0
F-measure (D) = ,0.0
Acuracia (V) = ,0.9876543
Acuracia (X) = ,0.99378884
Acuracia (R) = ,1.0
Acuracia (D) = ,0.99688476

